09g_priority_rank,candidate_id,priority_tier,cross_method_support_label,pareto_nondominated,pharmacophore_status,mandatory_rmsd_A,pharmacophore_fit_rank,chemistry_class,chemistry_priority_score,chemistry_rank,09e_candidate_rank,diffdock_confidence,pose_support_score,contacted_receptor_residues,ligand_contact_fraction,receptor_engagement_rank,vina_score_before,vina_score_after,vina_delta_local_optimization,vina_energetic_rank,diffdock_to_vina_local_RMSD_A,local_geometry_label,local_geometry_stability_rank,consensus_support_count_top2,consensus_support_fraction,median_axis_rank,worst_axis_rank,docking_track
1,MOL00583,TIER_1_PRIMARY_COMPUTATIONAL_LEAD,STRONG_CROSS_METHOD_SUPPORT,True,NEAR_MISS_MANDATORY_ONLY,1.3405792108818109,2,CHEM_PASS,3.7812086814857953,4,2,-2.02,0.8270068027210885,12,0.9333333333333332,2,0.384,-4.314,-4.698,2,0.5863862791770252,STABLE_LOCAL_GEOMETRY,4,4,0.6666666666666666,2.0,4,NEAR_MISS_RESCUE
2,MOL00484,TIER_2_ORTHOGONAL_FOLLOWUP_LEAD,MIXED_BUT_SUBSTANTIAL_SUPPORT,True,NEAR_MISS_MANDATORY_ONLY,1.652651713295761,3,CHEM_PASS,4.341908935463376,1,4,-3.0,0.7703401360544218,14,1.0,1,-0.556,-4.267,-3.711,3,0.0567710764450298,VERY_STABLE_LOCAL_GEOMETRY,1,3,0.5,2.0,4,NEAR_MISS_RESCUE
3,MOL00600,TIER_2_ORTHOGONAL_FOLLOWUP_LEAD,MIXED_BUT_SUBSTANTIAL_SUPPORT,True,NEAR_MISS_MANDATORY_ONLY,1.211674079012908,1,CHEM_PASS,3.9026291120943544,3,3,-1.89,0.7948799519807924,9,0.9117647058823528,3,1.998,-5.791,-7.789000000000001,1,0.1899869845084527,VERY_STABLE_LOCAL_GEOMETRY,2,3,0.5,2.5,3,NEAR_MISS_RESCUE
4,MOL00273,TIER_2_ORTHOGONAL_FOLLOWUP_LEAD,METHOD_SPECIFIC_SUPPORT,True,NEAR_MISS_MANDATORY_ONLY,1.9237175508131807,4,CHEM_PASS,3.92674510912299,2,1,-0.88,0.8498550724637682,7,0.8260869565217391,4,-2.982,-3.937,-0.9549999999999996,4,0.2030040829871166,VERY_STABLE_LOCAL_GEOMETRY,3,2,0.3333333333333333,3.5,4,NEAR_MISS_RESCUE
