09f_rank,candidate_id,09e_candidate_rank,docking_track,pharmacophore_status,chemistry_class,mandatory_rmsd_A,chemistry_priority_score,pose_rank,diffdock_confidence,pose_support_score,contacted_receptor_residues,ligand_contact_fraction,severe_clash,selected_pose,vina_score_before,vina_lig_inter_before,vina_lig_intra_before,vina_torsions_before,vina_score_after,vina_lig_inter_after,vina_lig_intra_after,vina_torsions_after,vina_delta_local_optimization,box_center_x,box_center_y,box_center_z,box_size_x,box_size_y,box_size_z,input_pdbqt,minimized_pdbqt,minimized_sdf,minimized_sdf_exported,local_optimization_improved,absolute_local_score_change,vina_pre_refinement_rank,vina_post_refinement_rank,diffdock_to_vina_local_RMSD_A
1,MOL00600,3,NEAR_MISS_RESCUE,NEAR_MISS_MANDATORY_ONLY,CHEM_PASS,1.211674079012908,3.9026291120943544,4,-1.89,0.7948799519807924,9,0.9117647058823528,False,outputs/pipeline_5_pharmacophore_09e_diffdock/structures/MOL00600_selected_rank4.sdf,1.998,2.523,0.745,-0.526,-5.791,-7.315,0.73,1.523,-7.789000000000001,62.19114999999999,53.016000000000005,57.89825,21.946899999999992,32.0,25.563300000000005,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00600_diffdock_pose.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00600_vina_local_minimized.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00600_vina_local_minimized.sdf,True,True,7.789000000000001,4,1,0.18998698450845278
2,MOL00583,2,NEAR_MISS_RESCUE,NEAR_MISS_MANDATORY_ONLY,CHEM_PASS,1.3405792108818109,3.7812086814857953,1,-2.02,0.8270068027210885,12,0.9333333333333332,False,outputs/pipeline_5_pharmacophore_09e_diffdock/structures/MOL00583_selected_rank1.sdf,0.384,0.518,0.815,-0.135,-4.314,-5.827,0.9,1.513,-4.698,65.17515,55.4117,55.65195,24.060900000000004,26.9886,27.792500000000004,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00583_diffdock_pose.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00583_vina_local_minimized.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00583_vina_local_minimized.sdf,True,True,4.698,3,2,0.5863862791770252
3,MOL00484,4,NEAR_MISS_RESCUE,NEAR_MISS_MANDATORY_ONLY,CHEM_PASS,1.652651713295761,4.341908935463376,4,-3.0,0.7703401360544218,14,1.0,False,outputs/pipeline_5_pharmacophore_09e_diffdock/structures/MOL00484_selected_rank4.sdf,-0.556,-0.719,-0.461,0.163,-4.267,-5.514,-0.478,1.247,-3.711,56.7482,40.8747,54.7783,30.777800000000006,22.2534,20.0,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00484_diffdock_pose.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00484_vina_local_minimized.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00484_vina_local_minimized.sdf,True,True,3.711,2,3,0.05677107644502982
4,MOL00273,1,NEAR_MISS_RESCUE,NEAR_MISS_MANDATORY_ONLY,CHEM_PASS,1.9237175508131807,3.92674510912299,1,-0.88,0.8498550724637682,7,0.8260869565217391,False,outputs/pipeline_5_pharmacophore_09e_diffdock/structures/MOL00273_selected_rank1.sdf,-2.982,-4.115,0.937,1.133,-3.937,-5.433,0.945,1.496,-0.9549999999999996,114.124,-9.10665,73.4871,31.1014,20.0,22.32759999999999,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00273_diffdock_pose.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00273_vina_local_minimized.pdbqt,outputs/pipeline_5_pharmacophore_09f_vina_refinement/vina_external/MOL00273_vina_local_minimized.sdf,True,True,0.9549999999999996,1,4,0.20300408298711664
