09d_docking_rank,09c_rank,candidate_id,smiles,mandatory_match,mandatory_rmsd_A,n_optional_matched,optional_match_ids,screen_pass,conf_id,MW_09c,cLogP_09c,HBD_09c,HBA_09c,TPSA_09c,RotB_09c,rings_09c,pharmacophore_score,pharmacophore_status,source_09c_rank,canonical_smiles,MW,cLogP,HBD,HBA,TPSA,RotB,rings,aromatic_rings,aliphatic_rings,formal_charge,heavy_atoms,fraction_CSP3,QED,stereocenters,lipinski_violations,lipinski_pass,veber_pass,broad_docking_envelope,n_PAINS,PAINS_alerts,n_Brenk,Brenk_alerts,SA_value,SA_method,chemistry_class,chemistry_priority_score,diversity_cluster,docking_track,near_miss_rank
1,42,MOL00053,Cc1cc(NC(=O)N2CC(OCCO)C2)n(-c2ccccc2)n1,True,1.3561114375162275,0,,False,7.0,316.361,1.4057199999999994,2,4,79.62000000000002,5,3,0.2576607614128431,NEAR_MISS_MANDATORY_ONLY,42,Cc1cc(NC(=O)N2CC(OCCO)C2)n(-c2ccccc2)n1,316.361,1.4057199999999994,2,4,79.62000000000002,5,3,2,1,0,23,0.375,0.8738321041147832,0,0,True,True,True,0,,0,,2.325859772973832,RDKit_Contrib_SA_Score,CHEM_PASS,4.365953606311836,83,NEAR_MISS_RESCUE,1.0
2,61,MOL00484,Cn1nc(C(=O)N2CCCC(CC(N)=O)C2)cc1-c1ccc(Cl)cc1,True,1.652651713295761,0,,False,7.0,360.845,2.4681000000000006,1,3,81.22,4,3,0.1915413219356663,NEAR_MISS_MANDATORY_ONLY,61,Cn1nc(C(=O)N2CCCC(CC(N)=O)C2)cc1-c1ccc(Cl)cc1,360.845,2.4681000000000006,1,3,81.22,4,3,2,1,0,25,0.3888888888888889,0.9088614165089453,1,0,True,True,True,0,,0,,2.743402658744353,RDKit_Contrib_SA_Score,CHEM_PASS,4.341908935463376,82,NEAR_MISS_RESCUE,2.0
3,73,MOL00273,O=C(O)CSCC(=O)Nc1nc(-c2cc3ccccc3o2)cs1,True,1.9237175508131807,0,,False,8.0,348.4050000000001,3.3126000000000015,2,6,92.43,6,3,0.1460629551124533,NEAR_MISS_MANDATORY_ONLY,73,O=C(O)CSCC(=O)Nc1nc(-c2cc3ccccc3o2)cs1,348.4050000000001,3.3126000000000015,2,6,92.42999999999999,6,3,3,0,0,23,0.13333333333333333,0.7098416836332728,0,0,True,True,True,0,,0,,2.2983369757710364,RDKit_Contrib_SA_Score,CHEM_PASS,3.92674510912299,81,NEAR_MISS_RESCUE,3.0
4,28,MOL00600,CC(=O)Nc1cc(N2CN(C3CCC(C4CCN(C(C)=O)CC4)CC3)C(=O)N(C)C2N)ncn1,True,1.211674079012908,0,,False,8.0,472.59400000000034,1.625900000000001,2,7,128.0,4,4,0.2976984912445934,NEAR_MISS_MANDATORY_ONLY,28,CC(=O)Nc1cc(N2CN(C3CCC(C4CCN(C(C)=O)CC4)CC3)C(=O)N(C)C2N)ncn1,472.59400000000034,1.625900000000001,2,7,128.0,4,4,1,3,0,34,0.6956521739130435,0.6814620159635768,1,0,True,True,True,0,,0,,3.6155212483626187,RDKit_Contrib_SA_Score,CHEM_PASS,3.9026291120943544,80,NEAR_MISS_RESCUE,4.0
5,21,MOL00294,O=C(CCc1nc(-c2cccs2)no1)Nc1cccc(N2CCN(C(=O)C3CC3)CC2)c1,True,1.15057896093362,0,,False,0.0,451.5520000000003,3.4280000000000017,1,7,91.57,7,5,0.3164535021168468,NEAR_MISS_MANDATORY_ONLY,21,O=C(CCc1nc(-c2cccs2)no1)Nc1cccc(N2CCN(C(=O)C3CC3)CC2)c1,451.55200000000036,3.4280000000000017,1,7,91.57,7,5,3,2,0,32,0.391304347826087,0.5918229657090518,0,0,True,True,True,0,,0,,2.3354694347036276,RDKit_Contrib_SA_Score,CHEM_PASS,3.842241019672744,79,NEAR_MISS_RESCUE,5.0
6,50,MOL00857,COc1cc(-c2ccnc(C3CCCCN3C(=O)c3ncc(C(=O)O)cn3)n2)ccc1F,True,1.4945484958108797,0,,False,6.0,437.431,3.146900000000002,1,7,118.4,5,4,0.2243498767756314,NEAR_MISS_MANDATORY_ONLY,50,COc1cc(-c2ccnc(C3CCCCN3C(=O)c3ncc(C(=O)O)cn3)n2)ccc1F,437.43100000000004,3.1469000000000014,1,7,118.4,5,4,3,1,0,32,0.2727272727272727,0.6467015984568079,1,0,True,True,True,0,,0,,3.1633963433237486,RDKit_Contrib_SA_Score,CHEM_PASS,3.8142104691411274,78,NEAR_MISS_RESCUE,6.0
7,39,MOL00583,COc1ccc(NC(C)=O)cc1NC(=O)c1cnc(Nc2ccc(C)c(C)c2)nc1,True,1.3405792108818109,0,,False,6.0,405.45800000000014,4.056340000000002,3,6,105.24,6,3,0.2616940486339295,NEAR_MISS_MANDATORY_ONLY,39,COc1ccc(NC(C)=O)cc1NC(=O)c1cnc(Nc2ccc(C)c(C)c2)nc1,405.45800000000014,4.056340000000002,3,6,105.24000000000001,6,3,3,0,0,30,0.18181818181818182,0.5712297238178811,0,0,True,True,True,0,,0,,2.117619087683247,RDKit_Contrib_SA_Score,CHEM_PASS,3.7812086814857953,77,NEAR_MISS_RESCUE,7.0
8,56,MOL00489,CC1(C)NCCc2cc(C(=O)Nc3ccc(-c4ccc(N)nc4)cn3)c(Cl)cc21,True,1.5781559690244018,0,,False,6.0,407.90500000000014,4.012300000000002,3,5,92.93,3,4,0.2063552730855727,NEAR_MISS_MANDATORY_ONLY,56,CC1(C)NCCc2cc(C(=O)Nc3ccc(-c4ccc(N)nc4)cn3)c(Cl)cc21,407.90500000000014,4.012300000000002,3,5,92.93,3,4,3,1,0,29,0.22727272727272727,0.6095061813972806,0,0,True,True,True,0,,0,,2.7731977545418633,RDKit_Contrib_SA_Score,CHEM_PASS,3.755614689444526,76,NEAR_MISS_RESCUE,8.0
