group_id,role,chemistry_mode,feature_families,n_source_features,source_cluster_ids,candidate_support_count,candidate_support,evidence_support_max,mean_occupancy,x_A,y_A,z_A,tolerance_A,member_centroid_spread_A,source_dispersion_A
PG01,MANDATORY,"ANY_OF(HBD,POS)","HBD,POS",2,"PH001,PH024",3,"CF02,CF06,MPNN_NEW_05",3,1.0,49.794657087538624,30.436239288918678,45.565561401583295,1.5982379947139074,0.21423818077518145,1.383999813938726
PG02,MANDATORY,HYD,HYD,1,PH015,3,"CF02,CF06,MPNN_NEW_05",3,1.0,49.179591558192264,41.92650762428608,55.57051418145304,1.7294711967958092,0.0,1.7294711967958092
PG03,MANDATORY,"ANY_OF(ARO,HYD)","ARO,HYD",2,"PH016,PH022",3,"CF02,CF06,MPNN_NEW_05",3,1.0,53.9105339079303,36.72237776514161,54.23210962279901,2.015118840778163,0.0,2.015118840778163
PG04,MANDATORY,"ANY_OF(HBA,HBD)","HBA,HBD",2,"PH002,PH011",3,"CF02,CF06,MPNN_NEW_05",3,0.8233333333333334,56.04742540208811,35.91319367249986,52.67718942357991,2.2257748682147893,0.0,2.2257748682147893
PG05,MANDATORY,HBD,HBD,1,PH006,3,"CF02,CF06,MPNN_NEW_05",3,0.7799999999999999,52.34688114369321,36.47457362047327,50.085316688816555,1.5,7.105427357601002e-15,1.4048387598780594
PG07,OPTIONAL,HYD,HYD,1,PH017,2,"CF02,MPNN_NEW_05",2,1.0,52.069077417691645,36.61077084225302,62.514596599861605,1.5,0.0,0.9051594548026034
PG08,OPTIONAL,"ANY_OF(HBD,POS)","HBD,POS",2,"PH004,PH025",2,"CF02,CF06",2,0.94,52.004953889568505,47.78954232225803,63.62842573655015,1.5,0.11459837253390182,0.9835440972780204
PG09,OPTIONAL,"ANY_OF(HBA,NEG)","HBA,NEG",2,"PH012,PH031",2,"CF02,CF06",2,0.94,50.2566228982182,39.361287128053604,43.81781556607808,1.5965984150497519,0.09309672981172255,1.5035016852380294
PG10,OPTIONAL,"ANY_OF(HBD,POS)","HBD,POS",2,"PH005,PH027",2,"CF02,CF06",2,0.8360778443113771,45.32337479330611,33.203489536440046,60.03363047529169,1.5747019987990882,0.1860548858268247,1.3886471129722635
