time_ps,RMSD_conformation_A,heavy_geometric_radius_A,protein_CA_RMSD_A,ligand_EGFR_fit_RMSD_A,site_center_distance_A,series,included
600.0,1.866863,5.356746,3.45514,2.9541876,3.183348,replica_01_seed20260931,False
610.0,1.9964952,5.234468,3.6366022,3.0689027,2.4104528,replica_01_seed20260931,False
620.0,1.972188,5.326145,3.615302,3.4585693,1.3053753,replica_01_seed20260931,False
630.0,1.7204101,5.2398562,3.7936034,3.790557,0.8587479,replica_01_seed20260931,False
640.0,1.8567944,5.2733274,3.8087645,3.547367,0.83175665,replica_01_seed20260931,False
650.0,1.747915,5.1896486,3.7840378,3.2087383,0.78785145,replica_01_seed20260931,False
660.0,1.6620356,5.2324533,3.779736,3.3967092,0.7106131,replica_01_seed20260931,False
670.0,1.6207967,5.316086,4.0596495,3.329917,0.70466226,replica_01_seed20260931,False
680.0,1.7138584,5.3014774,4.0334744,3.6666157,0.45191136,replica_01_seed20260931,False
690.0,1.5552628,5.3003697,4.0715466,4.14747,0.5577205,replica_01_seed20260931,False
700.0,1.6120234,5.2704296,4.019468,4.3133154,0.9130948,replica_01_seed20260931,False
710.0,1.4174674,5.3236814,3.9996576,3.6502404,0.3481617,replica_01_seed20260931,False
720.0,1.7582773,5.377583,3.94557,3.7222717,0.3939492,replica_01_seed20260931,False
730.0,1.6440481,5.196004,4.0438786,3.7626493,0.61209,replica_01_seed20260931,False
740.0,1.5754317,5.3395324,4.0196967,3.825536,0.55231065,replica_01_seed20260931,False
750.0,1.6834495,5.2982597,4.339076,3.728177,0.22522627,replica_01_seed20260931,False
760.0,1.3650723,5.3594823,4.3544884,3.9624093,0.23220992,replica_01_seed20260931,False
770.0,1.3312007,5.287422,4.447231,4.2977943,0.6785315,replica_01_seed20260931,False
780.0,1.2297995,5.26455,4.301502,3.9640646,0.5584205,replica_01_seed20260931,False
790.0,1.6031833,5.19968,4.316264,4.3901024,0.31795326,replica_01_seed20260931,False
800.0,1.6799866,5.250049,4.3163157,4.436738,0.58384115,replica_01_seed20260931,False
810.0,1.4650998,5.1944036,4.2054186,4.13737,0.46584934,replica_01_seed20260931,False
820.0,1.4942927,5.2777576,3.9803905,4.084071,0.44905987,replica_01_seed20260931,False
830.0,1.4375926,5.206475,3.9186227,3.8878963,0.4674928,replica_01_seed20260931,False
840.0,1.3584214,5.2093067,4.136934,4.198231,0.79594827,replica_01_seed20260931,False
850.0,1.3265036,5.1360373,4.038559,4.071123,0.54789805,replica_01_seed20260931,False
860.0,1.3749616,5.320683,4.088442,4.337469,0.75357646,replica_01_seed20260931,False
870.0,1.2966578,5.321782,4.129045,3.9906693,0.9001165,replica_01_seed20260931,False
880.0,1.5726901,5.2817307,3.99892,4.518323,0.44708338,replica_01_seed20260931,False
890.0,1.4658113,5.28043,4.0670877,4.58811,0.8841107,replica_01_seed20260931,False
900.0,1.4245378,5.2878284,3.9807959,4.3538723,0.53843844,replica_01_seed20260931,False
910.0,1.5879248,5.361581,4.022882,4.340118,0.72324646,replica_01_seed20260931,False
920.0,1.7638531,5.369885,3.9949896,4.197695,0.7225503,replica_01_seed20260931,False
930.0,1.604957,5.3833776,3.8699315,3.9075165,0.28273427,replica_01_seed20260931,False
940.0,1.794315,5.2189374,4.000597,4.0558605,0.35045034,replica_01_seed20260931,False
950.0,1.4897108,5.2051992,3.9942183,3.371891,1.0101011,replica_01_seed20260931,False
960.0,1.672964,5.2622037,4.039729,3.1948652,0.77050126,replica_01_seed20260931,False
970.0,1.3845794,5.2273693,3.9657,3.4905365,0.6038962,replica_01_seed20260931,False
980.0,1.6532216,5.290825,3.7789354,3.365414,0.8125608,replica_01_seed20260931,False
990.0,1.725577,5.275802,3.990737,3.6570454,0.55967385,replica_01_seed20260931,False
1000.0,1.840193,5.238604,3.9300356,3.5191088,0.70410186,replica_01_seed20260931,False
1010.0,1.6994133,5.271816,3.7227247,4.018694,0.45735723,replica_01_seed20260931,False
1020.0,1.6242459,5.3764505,3.810328,4.0891514,0.4771024,replica_01_seed20260931,False
1030.0,1.7067406,5.2465067,3.894826,3.8084707,0.543853,replica_01_seed20260931,False
1040.0,1.6310427,5.2780666,3.794661,3.7372468,0.5503152,replica_01_seed20260931,False
1050.0,1.6453065,5.3642597,3.811666,3.7623284,0.6892401,replica_01_seed20260931,False
1060.0,1.3425705,5.2611713,4.0441766,4.2388964,0.52043194,replica_01_seed20260931,False
1070.0,1.6358166,5.2762933,4.0731726,4.067918,0.5546582,replica_01_seed20260931,False
1080.0,1.6270461,5.345233,4.022646,4.0950794,0.32413664,replica_01_seed20260931,False
